792 792 5336
0 0 2
0 1 -1
0 2 -0.993333
1 0 -1
1 1 4.2
1 2 -0.228889
1 3 -0.331111
1 4 -2.66667
2 0 -0.993333
2 1 -0.228889
2 2 3.75768
2 4 -0.310606
2 5 -0.41
2 6 -1.82318
3 1 -0.331111
3 3 3.59972
3 4 -0.941944
3 7 -0.493333
3 8 -1.83333
4 1 -2.66667
4 2 -0.310606
4 3 -0.941944
4 4 7.68442
4 6 -1.1152
4 8 -1.16667
4 10 -1.5425
5 2 -0.41
5 5 3.57917
5 6 -1
5 11 -0.498333
5 12 -1.67042
6 2 -1.82318
6 4 -1.1152
6 5 -1
6 6 7.63088
6 10 -1.95931
6 12 -1.77778
7 3 -0.493333
7 7 3.74407
7 8 -0.745741
7 9 -0.326667
7 13 -2.16667
8 3 -1.83333
8 4 -1.16667
8 7 -0.745741
8 8 7.51667
8 10 -0.819815
8 13 -0.505
8 14 -2.50444
9 7 -0.326667
9 9 3.62077
9 13 -0.963628
9 16 -0.421905
9 18 -1.90952
10 4 -1.5425
10 6 -1.95931
10 8 -0.819815
10 10 7.75861
10 12 -0.523518
10 14 -0.171111
10 15 -2.66667
10 20 -0.171111
11 5 -0.498333
11 11 3.73407
11 12 -0.745741
11 19 -0.326667
11 21 -2.16667
12 5 -1.67042
12 6 -1.77778
12 10 -0.523518
12 11 -0.745741
12 12 7.66731
12 20 -2.50444
12 21 -0.5
13 7 -2.16667
13 8 -0.505
13 9 -0.963628
13 13 7.29199
13 14 -1.04058
13 18 -0.956825
13 22 -1.71429
14 8 -2.50444
14 10 -0.171111
14 13 -1.04058
14 14 7.49276
14 15 -1.17281
14 22 -1.14286
14 24 -1.52857
15 10 -2.66667
15 14 -1.17281
15 15 7.64277
15 20 -1.16837
15 23 -1.34254
15 24 -1.33333
16 9 -0.421905
16 16 3.5581
16 17 -0.490582
16 18 -0.902222
16 27 -1.74815
17 16 -0.490582
17 17 3.65783
17 25 -0.393333
17 27 -0.769746
17 28 -2.00705
18 9 -1.90952
18 13 -0.956825
18 16 -0.902222
18 18 7.10482
18 22 -0.973304
18 27 -0.867078
18 29 -1.55523
19 11 -0.326667
19 19 3.55463
19 21 -1.10861
19 26 -0.430833
19 30 -1.69019
20 10 -0.171111
20 12 -2.50444
20 15 -1.16837
20 20 7.51054
20 21 -1.03614
20 23 -1.52857
20 31 -1.14286
21 11 -2.16667
21 12 -0.5
21 19 -1.10861
21 20 -1.03614
21 21 7.35127
21 30 -0.754212
21 31 -1.82778
22 13 -1.71429
22 14 -1.14286
22 18 -0.973304
22 22 7.04686
22 24 -1.04444
22 29 -0.829194
22 33 -1.39483
23 15 -1.34254
23 20 -1.52857
23 23 7.03865
23 24 -0.690476
23 31 -0.700397
23 32 -1.36214
23 34 -1.5
24 14 -1.52857
24 15 -1.33333
24 22 -1.04444
24 23 -0.690476
24 24 7.14365
24 33 -0.807143
24 34 -1.7873
25 17 -0.393333
25 25 3.62086
25 28 -0.845225
25 35 -0.447879
25 36 -1.9503
26 19 -0.430833
26 26 3.58875
26 30 -0.842708
26 38 -0.493333
26 39 -1.83833
27 16 -1.74815
27 17 -0.769746
27 18 -0.867078
27 27 7.16314
27 28 -0.908261
27 29 -0.994919
27 41 -1.9357
28 17 -2.00705
28 25 -0.845225
28 27 -0.908261
28 28 7.12541
28 36 -0.969996
28 41 -0.9974
28 42 -1.42548
29 18 -1.55523
29 22 -0.829194
29 27 -0.994919
29 29 7.22161
29 33 -1.11611
29 41 -0.615536
29 43 -2.19406
30 19 -1.69019
30 21 -0.754212
30 26 -0.842708
30 30 7.25846
30 31 -1.2623
30 39 -1.89206
30 45 -0.884159
31 20 -1.14286
31 21 -1.82778
31 23 -0.700397
31 30 -1.2623
31 31 7.30768
31 32 -1.86532
31 45 -0.568076
32 23 -1.36214
32 31 -1.86532
32 32 7.68477
32 34 -0.87085
32 45 -1.20666
32 46 -2.42213
33 22 -1.39483
33 24 -0.807143
33 29 -1.11611
33 33 7.38438
33 34 -0.748413
33 43 -0.459044
33 44 -2.58008
33 47 -0.314478
34 23 -1.5
34 24 -1.7873
34 32 -0.87085
34 33 -0.748413
34 34 7.88918
34 46 -0.1
34 47 -2.93333
35 25 -0.447879
35 35 3.60507
35 36 -0.822802
35 37 -0.485641
35 49 -1.82208
36 25 -1.9503
36 28 -0.969996
36 35 -0.822802
36 36 7.27708
36 42 -0.873651
36 49 -0.689444
36 50 -2.04304
37 35 -0.485641
37 37 3.60339
37 40 -0.423636
37 49 -0.818104
37 51 -1.87939
38 26 -0.493333
38 38 3.69461
38 39 -1.34848
38 54 -1.07126
38 55 -0.782143
39 26 -1.83833
39 30 -1.89206
39 38 -1.34848
39 39 8.52398
39 45 -0.163074
39 53 -3.35224
39 55 -0.0234483
40 37 -0.423636
40 40 3.67081
40 51 -0.853788
40 56 -0.368333
40 57 -1.99838
41 27 -1.9357
41 28 -0.9974
41 29 -0.615536
41 41 7.11383
41 42 -1.105
41 43 -0.980497
41 59 -1.56617
42 28 -1.42548
42 36 -0.873651
42 41 -1.105
42 42 7.04776
42 50 -1.17185
